endpoint,version,entity,available,note
Default,24.200.001,Account,true,
Default,24.200.001,AccountDetailsForPeriodInquiry,true,
Default,24.200.001,AccountGroup,true,
Default,24.200.001,AccountSummaryInquiry,true,
Default,24.200.001,Activity,true,
Default,24.200.001,AmazonStore,true,
Default,24.200.001,Appointment,true,
Default,24.200.001,AttributeDefinition,true,
Default,24.200.001,BigCommerceStores,true,
Default,24.200.001,Bill,true,
Default,24.200.001,Budget,true,
Default,24.200.001,BusinessAccount,true,
Default,24.200.001,Carrier,true,
Default,24.200.001,Case,true,
Default,24.200.001,CashSale,true,
Default,24.200.001,CashTransaction,true,
Default,24.200.001,ChangeOrder,true,
Default,24.200.001,ChangeOrderClass,true,
Default,24.200.001,Check,true,
Default,24.200.001,CompaniesStructure,true,
Default,24.200.001,CompanyFinancialPeriod,true,
Default,24.200.001,Contact,true,
Default,24.200.001,ContractUsage,true,
Default,24.200.001,CostCode,true,
Default,24.200.001,Currency,true,
Default,24.200.001,Customer,true,
Default,24.200.001,CustomerClass,true,
Default,24.200.001,CustomerLocation,true,
Default,24.200.001,CustomerPaymentMethod,true,
Default,24.200.001,CustomerPriceClass,true,
Default,24.200.001,DeductionBenefitCode,true,
Default,24.200.001,Discount,true,
Default,24.200.001,DiscountCode,true,
Default,24.200.001,EarningTypeCode,true,
Default,24.200.001,Email,true,
Default,24.200.001,EmailProcessing,true,
Default,24.200.001,Employee,true,
Default,24.200.001,EmployeePayrollClass,true,
Default,24.200.001,EmployeePayrollSettings,true,
Default,24.200.001,Event,true,
Default,24.200.001,ExpenseClaim,true,
Default,24.200.001,ExpenseReceipt,true,
Default,24.200.001,ExternalCommitment,true,
Default,24.200.001,FOBPoint,true,
Default,24.200.001,FinancialPeriod,true,
Default,24.200.001,FinancialYear,true,
Default,24.200.001,InventoryAdjustment,true,
Default,24.200.001,InventoryAllocationInquiry,true,
Default,24.200.001,InventoryIssue,true,
Default,24.200.001,InventoryQuantityAvailable,true,
Default,24.200.001,InventoryReceipt,true,
Default,24.200.001,InventorySummaryInquiry,true,
Default,24.200.001,Invoice,true,
Default,24.200.001,ItemClass,true,
Default,24.200.001,ItemSalesCategory,true,
Default,24.200.001,ItemWarehouse,true,
Default,24.200.001,JournalTransaction,true,
Default,24.200.001,KitAssembly,true,
Default,24.200.001,KitSpecification,true,
Default,24.200.001,LaborCostRate,true,
Default,24.200.001,Lead,true,
Default,24.200.001,Ledger,true,
Default,24.200.001,LotSerialClass,true,
Default,24.200.001,NonStockItem,true,
Default,24.200.001,Opportunity,true,
Default,24.200.001,PTOBank,true,
Default,24.200.001,PayGroup,true,
Default,24.200.001,PayPeriod,true,
Default,24.200.001,Payment,true,
Default,24.200.001,PaymentMethod,true,
Default,24.200.001,PayrollBatch,true,
Default,24.200.001,PayrollUnionLocal,true,
Default,24.200.001,PayrollWCCCode,true,
Default,24.200.001,PhysicalInventoryCount,true,
Default,24.200.001,PhysicalInventoryReview,true,
Default,24.200.001,ProFormaInvoice,true,
Default,24.200.001,Project,true,
Default,24.200.001,ProjectBudget,true,
Default,24.200.001,ProjectTask,true,
Default,24.200.001,ProjectTemplate,true,
Default,24.200.001,ProjectTemplateTask,true,
Default,24.200.001,ProjectTransaction,true,
Default,24.200.001,PurchaseOrder,true,
Default,24.200.001,PurchaseReceipt,true,
Default,24.200.001,SalesInvoice,true,
Default,24.200.001,SalesOrder,true,
Default,24.200.001,SalesPriceWorksheet,true,
Default,24.200.001,SalesPricesInquiry,true,
Default,24.200.001,Salesperson,true,
Default,24.200.001,ServiceOrder,true,
Default,24.200.001,ShipVia,true,
Default,24.200.001,Shipment,true,
Default,24.200.001,ShippingBox,true,
Default,24.200.001,ShippingTerm,true,
Default,24.200.001,ShippingZones,true,
Default,24.200.001,ShopifyStore,true,
Default,24.200.001,StockItem,true,
Default,24.200.001,StorageDetailsByLocationInquiry,true,
Default,24.200.001,StorageDetailsInquiry,true,
Default,24.200.001,Subaccount,true,
Default,24.200.001,Subcontract,true,
Default,24.200.001,Task,true,
Default,24.200.001,Tax,true,
Default,24.200.001,TaxCategory,true,
Default,24.200.001,TaxReportingSettings,true,
Default,24.200.001,TaxZone,true,
Default,24.200.001,TemplateItems,true,
Default,24.200.001,TimeEntry,true,
Default,24.200.001,TransferOrder,true,
Default,24.200.001,UnionLocal,true,
Default,24.200.001,UnitsOfMeasure,true,
Default,24.200.001,Vendor,true,
Default,24.200.001,VendorClass,true,
Default,24.200.001,VendorPriceWorksheet,true,
Default,24.200.001,VendorPricesInquiry,true,
Default,24.200.001,Warehouse,true,
Default,24.200.001,WorkCalendar,true,
Default,24.200.001,WorkClassCompensationCode,true,
Default,24.200.001,WorkLocation,true,
Procore,1,APBillsToPayments,true,
Procore,1,Account,true,
Procore,1,AccountDetailsForPeriodInquiry,true,
Procore,1,AccountGroup,true,
Procore,1,AccountSummaryInquiry,true,
Procore,1,Activity,true,
Procore,1,AllocationRule,true,
Procore,1,Appointment,true,
Procore,1,AttributeDefinition,true,
Procore,1,Bill,true,
Procore,1,Budget,true,
Procore,1,BusinessAccount,true,
Procore,1,Carrier,true,
Procore,1,Case,true,
Procore,1,CashSale,true,
Procore,1,ChangeOrder,true,
Procore,1,ChangeOrderClass,true,
Procore,1,Check,true,
Procore,1,CommonTask,true,
Procore,1,CompaniesStructure,true,
Procore,1,CompanyFinancialPeriod,true,
Procore,1,Contact,true,
Procore,1,ContractUsage,true,
Procore,1,CostCode,true,
Procore,1,CostTransactions,true,
Procore,1,Currency,true,
Procore,1,Customer,true,
Procore,1,CustomerClass,true,
Procore,1,CustomerLocation,true,
Procore,1,CustomerPaymentMethod,true,
Procore,1,CustomerPriceClass,true,
Procore,1,Discount,true,
Procore,1,DiscountCode,true,
Procore,1,Email,true,
Procore,1,EmailProcessing,true,
Procore,1,Employee,true,
Procore,1,Event,true,
Procore,1,ExpenseClaim,true,
Procore,1,ExpenseReceipt,true,
Procore,1,ExternalCommitment,true,
Procore,1,FOBPoint,true,
Procore,1,FinancialPeriod,true,
Procore,1,FinancialYear,true,
Procore,1,GetRetainageBills,true,
Procore,1,InventoryAdjustment,true,
Procore,1,InventoryAllocationInquiry,true,
Procore,1,InventoryReceipt,true,
Procore,1,InventorySummaryInquiry,true,
Procore,1,Invoice,true,
Procore,1,ItemClass,true,
Procore,1,ItemSalesCategory,true,
Procore,1,ItemWarehouse,true,
Procore,1,JournalTransaction,true,
Procore,1,KitAssembly,true,
Procore,1,KitSpecification,true,
Procore,1,LaborCostRate,true,
Procore,1,Lead,true,
Procore,1,Ledger,true,
Procore,1,LotSerialClass,true,
Procore,1,NonStockItem,true,
Procore,1,NumberingSequences,true,
Procore,1,Opportunity,true,
Procore,1,Payment,true,
Procore,1,PaymentMethod,true,
Procore,1,PhysicalInventoryCount,true,
Procore,1,PhysicalInventoryReview,true,
Procore,1,ProFormaInvoice,true,
Procore,1,ProcoreIntegration,true,
Procore,1,ProcoreProjectTransactions,true,
Procore,1,ProcoreSyncedCCO,true,
Procore,1,ProcoreSyncedChangeOrder,true,
Procore,1,ProcoreSyncedInvoices,true,
Procore,1,ProcoreSyncedPurchaseOrder,true,
Procore,1,ProcoreSyncedRetainageBills,true,
Procore,1,ProcoreSyncedSubcontract,true,
Procore,1,Project,true,
Procore,1,ProjectBilling,true,
Procore,1,ProjectBillingRules,true,
Procore,1,ProjectBudget,true,
Procore,1,ProjectCostBudget,true,
Procore,1,ProjectTask,true,
Procore,1,ProjectTemplate,true,
Procore,1,ProjectTemplateTask,true,
Procore,1,ProjectTransaction,true,
Procore,1,PurchaseOrder,true,
Procore,1,PurchaseReceipt,true,
Procore,1,SalesInvoice,true,
Procore,1,SalesOrder,true,
Procore,1,SalesPriceWorksheet,true,
Procore,1,SalesPricesInquiry,true,
Procore,1,Salesperson,true,
Procore,1,ServiceOrder,true,
Procore,1,ShipVia,true,
Procore,1,Shipment,true,
Procore,1,ShippingBox,true,
Procore,1,ShippingTerm,true,
Procore,1,ShippingZones,true,
Procore,1,StatementCycle,true,
Procore,1,StockItem,true,
Procore,1,StorageDetailsByLocationInquiry,true,
Procore,1,StorageDetailsInquiry,true,
Procore,1,Subaccount,true,
Procore,1,Subcontract,true,
Procore,1,SubstitutionList,true,
Procore,1,Task,true,
Procore,1,Tax,true,
Procore,1,TaxCategory,true,
Procore,1,TaxReportingSettings,true,
Procore,1,TaxZone,true,
Procore,1,TimeEntry,true,
Procore,1,TransferOrder,true,
Procore,1,TrialBalance,true,
Procore,1,UnionLocal,true,
Procore,1,UnitsOfMeasure,true,
Procore,1,Vendor,true,
Procore,1,VendorClass,true,
Procore,1,VendorPriceWorksheet,true,
Procore,1,VendorPricesInquiry,true,
Procore,1,Warehouse,true,
Procore,1,WorkClassCompensationCode,true,
jobplanner,23.200.001,Account,true,
jobplanner,23.200.001,AccountDetailsForPeriodInquiry,true,
jobplanner,23.200.001,AccountGroup,true,
jobplanner,23.200.001,AccountSummaryInquiry,true,
jobplanner,23.200.001,Activity,true,
jobplanner,23.200.001,Appointment,true,
jobplanner,23.200.001,AttributeDefinition,true,
jobplanner,23.200.001,BigCommerceStores,true,
jobplanner,23.200.001,Bill,true,
jobplanner,23.200.001,Budget,true,
jobplanner,23.200.001,BusinessAccount,true,
jobplanner,23.200.001,Carrier,true,
jobplanner,23.200.001,Case,true,
jobplanner,23.200.001,CashSale,true,
jobplanner,23.200.001,ChangeOrder,true,
jobplanner,23.200.001,ChangeOrderClass,true,
jobplanner,23.200.001,Check,true,
jobplanner,23.200.001,CompaniesStructure,true,
jobplanner,23.200.001,CompanyFinancialPeriod,true,
jobplanner,23.200.001,Contact,true,
jobplanner,23.200.001,ContractUsage,true,
jobplanner,23.200.001,CostCode,true,
jobplanner,23.200.001,CreditTerms,true,
jobplanner,23.200.001,Currency,true,
jobplanner,23.200.001,Customer,true,
jobplanner,23.200.001,CustomerClass,true,
jobplanner,23.200.001,CustomerLocation,true,
jobplanner,23.200.001,CustomerPaymentMethod,true,
jobplanner,23.200.001,CustomerPriceClass,true,
jobplanner,23.200.001,DeductionBenefitCode,true,
jobplanner,23.200.001,Discount,true,
jobplanner,23.200.001,DiscountCode,true,
jobplanner,23.200.001,EarningTypeCode,true,
jobplanner,23.200.001,Email,true,
jobplanner,23.200.001,EmailProcessing,true,
jobplanner,23.200.001,Employee,true,
jobplanner,23.200.001,EmployeePayrollClass,true,
jobplanner,23.200.001,EmployeePayrollSettings,true,
jobplanner,23.200.001,Event,true,
jobplanner,23.200.001,ExpenseClaim,true,
jobplanner,23.200.001,ExpenseReceipt,true,
jobplanner,23.200.001,ExternalCommitment,true,
jobplanner,23.200.001,FOBPoint,true,
jobplanner,23.200.001,FinancialPeriod,true,
jobplanner,23.200.001,FinancialYear,true,
jobplanner,23.200.001,InventoryAdjustment,true,
jobplanner,23.200.001,InventoryAllocationInquiry,true,
jobplanner,23.200.001,InventoryIssue,true,
jobplanner,23.200.001,InventoryQuantityAvailable,true,
jobplanner,23.200.001,InventoryReceipt,true,
jobplanner,23.200.001,InventorySummaryInquiry,true,
jobplanner,23.200.001,Invoice,true,
jobplanner,23.200.001,ItemClass,true,
jobplanner,23.200.001,ItemSalesCategory,true,
jobplanner,23.200.001,ItemWarehouse,true,
jobplanner,23.200.001,JournalTransaction,true,
jobplanner,23.200.001,KitAssembly,true,
jobplanner,23.200.001,KitSpecification,true,
jobplanner,23.200.001,LaborCostRate,true,
jobplanner,23.200.001,Lead,true,
jobplanner,23.200.001,Ledger,true,
jobplanner,23.200.001,LotSerialClass,true,
jobplanner,23.200.001,NonStockItem,true,
jobplanner,23.200.001,Opportunity,true,
jobplanner,23.200.001,PTOBank,true,
jobplanner,23.200.001,PayGroup,true,
jobplanner,23.200.001,PayPeriod,true,
jobplanner,23.200.001,Payment,true,
jobplanner,23.200.001,PaymentMethod,true,
jobplanner,23.200.001,PayrollBatch,true,
jobplanner,23.200.001,PayrollUnionLocal,true,
jobplanner,23.200.001,PayrollWCCCode,true,
jobplanner,23.200.001,PhysicalInventoryCount,true,
jobplanner,23.200.001,PhysicalInventoryReview,true,
jobplanner,23.200.001,ProFormaInvoice,true,
jobplanner,23.200.001,Project,true,
jobplanner,23.200.001,ProjectBudget,true,
jobplanner,23.200.001,ProjectTask,true,
jobplanner,23.200.001,ProjectTemplate,true,
jobplanner,23.200.001,ProjectTemplateTask,true,
jobplanner,23.200.001,ProjectTransaction,true,
jobplanner,23.200.001,PurchaseOrder,true,
jobplanner,23.200.001,PurchaseReceipt,true,
jobplanner,23.200.001,SalesInvoice,true,
jobplanner,23.200.001,SalesOrder,true,
jobplanner,23.200.001,SalesPriceWorksheet,true,
jobplanner,23.200.001,SalesPricesInquiry,true,
jobplanner,23.200.001,Salesperson,true,
jobplanner,23.200.001,ServiceOrder,true,
jobplanner,23.200.001,ShipVia,true,
jobplanner,23.200.001,Shipment,true,
jobplanner,23.200.001,ShippingBox,true,
jobplanner,23.200.001,ShippingTerm,true,
jobplanner,23.200.001,ShippingZones,true,
jobplanner,23.200.001,ShopifyStore,true,
jobplanner,23.200.001,StockItem,true,
jobplanner,23.200.001,StorageDetailsByLocationInquiry,true,
jobplanner,23.200.001,StorageDetailsInquiry,true,
jobplanner,23.200.001,Subaccount,true,
jobplanner,23.200.001,Subcontract,true,
jobplanner,23.200.001,Task,true,
jobplanner,23.200.001,Tax,true,
jobplanner,23.200.001,TaxCategory,true,
jobplanner,23.200.001,TaxReportingSettings,true,
jobplanner,23.200.001,TaxZone,true,
jobplanner,23.200.001,TemplateItems,true,
jobplanner,23.200.001,TimeEntry,true,
jobplanner,23.200.001,TransferOrder,true,
jobplanner,23.200.001,UnionLocal,true,
jobplanner,23.200.001,UnitsOfMeasure,true,
jobplanner,23.200.001,Vendor,true,
jobplanner,23.200.001,VendorClass,true,
jobplanner,23.200.001,VendorPriceWorksheet,true,
jobplanner,23.200.001,VendorPricesInquiry,true,
jobplanner,23.200.001,Warehouse,true,
jobplanner,23.200.001,WorkCalendar,true,
jobplanner,23.200.001,WorkClassCompensationCode,true,
jobplanner,23.200.001,WorkLocation,true,
JPEndpoints,24.200.001,Account,true,
JPEndpoints,24.200.001,AccountDetailsForPeriodInquiry,true,
JPEndpoints,24.200.001,AccountGroup,true,
JPEndpoints,24.200.001,AccountSummaryInquiry,true,
JPEndpoints,24.200.001,Activity,true,
JPEndpoints,24.200.001,AmazonStore,true,
JPEndpoints,24.200.001,Appointment,true,
JPEndpoints,24.200.001,AttributeDefinition,true,
JPEndpoints,24.200.001,BigCommerceStores,true,
JPEndpoints,24.200.001,Bill,true,
JPEndpoints,24.200.001,Budget,true,
JPEndpoints,24.200.001,BusinessAccount,true,
JPEndpoints,24.200.001,Carrier,true,
JPEndpoints,24.200.001,Case,true,
JPEndpoints,24.200.001,CashSale,true,
JPEndpoints,24.200.001,CashTransaction,true,
JPEndpoints,24.200.001,ChangeOrder,true,
JPEndpoints,24.200.001,ChangeOrderClass,true,
JPEndpoints,24.200.001,Check,true,
JPEndpoints,24.200.001,CompaniesStructure,true,
JPEndpoints,24.200.001,CompanyFinancialPeriod,true,
JPEndpoints,24.200.001,CompanyTree,true,
JPEndpoints,24.200.001,Contact,true,
JPEndpoints,24.200.001,ContractUsage,true,
JPEndpoints,24.200.001,CostCode,true,
JPEndpoints,24.200.001,CreditTerms,true,
JPEndpoints,24.200.001,Currency,true,
JPEndpoints,24.200.001,Customer,true,
JPEndpoints,24.200.001,CustomerClass,true,
JPEndpoints,24.200.001,CustomerLocation,true,
JPEndpoints,24.200.001,CustomerPaymentMethod,true,
JPEndpoints,24.200.001,CustomerPriceClass,true,
JPEndpoints,24.200.001,DeductionBenefitCode,true,
JPEndpoints,24.200.001,Department,true,
JPEndpoints,24.200.001,Discount,true,
JPEndpoints,24.200.001,DiscountCode,true,
JPEndpoints,24.200.001,EarningTypeCode,true,
JPEndpoints,24.200.001,Email,true,
JPEndpoints,24.200.001,EmailProcessing,true,
JPEndpoints,24.200.001,Employee,true,
JPEndpoints,24.200.001,EmployeeClass,true,
JPEndpoints,24.200.001,EmployeePayrollClass,true,
JPEndpoints,24.200.001,EmployeePayrollSettings,true,
JPEndpoints,24.200.001,EmployeeTimeCard,true,
JPEndpoints,24.200.001,Equipment,true,
JPEndpoints,24.200.001,EquipmentTimeCard,true,
JPEndpoints,24.200.001,Event,true,
JPEndpoints,24.200.001,ExpenseClaim,true,
JPEndpoints,24.200.001,ExpenseReceipt,true,
JPEndpoints,24.200.001,ExternalCommitment,true,
JPEndpoints,24.200.001,FOBPoint,true,
JPEndpoints,24.200.001,FinancialPeriod,true,
JPEndpoints,24.200.001,FinancialYear,true,
JPEndpoints,24.200.001,InventoryAdjustment,true,
JPEndpoints,24.200.001,InventoryAllocationInquiry,true,
JPEndpoints,24.200.001,InventoryIssue,true,
JPEndpoints,24.200.001,InventoryQuantityAvailable,true,
JPEndpoints,24.200.001,InventoryReceipt,true,
JPEndpoints,24.200.001,InventorySummaryInquiry,true,
JPEndpoints,24.200.001,Invoice,true,
JPEndpoints,24.200.001,ItemClass,true,
JPEndpoints,24.200.001,ItemSalesCategory,true,
JPEndpoints,24.200.001,ItemWarehouse,true,
JPEndpoints,24.200.001,JournalTransaction,true,
JPEndpoints,24.200.001,KitAssembly,true,
JPEndpoints,24.200.001,KitSpecification,true,
JPEndpoints,24.200.001,LaborCostRate,true,
JPEndpoints,24.200.001,Lead,true,
JPEndpoints,24.200.001,Ledger,true,
JPEndpoints,24.200.001,LotSerialClass,true,
JPEndpoints,24.200.001,NonStockItem,true,
JPEndpoints,24.200.001,Opportunity,true,
JPEndpoints,24.200.001,PTOBank,true,
JPEndpoints,24.200.001,PayGroup,true,
JPEndpoints,24.200.001,PayPeriod,true,
JPEndpoints,24.200.001,Payment,true,
JPEndpoints,24.200.001,PaymentMethod,true,
JPEndpoints,24.200.001,PayrollBatch,true,
JPEndpoints,24.200.001,PayrollUnionLocal,true,
JPEndpoints,24.200.001,PayrollWCCCode,true,
JPEndpoints,24.200.001,PhysicalInventoryCount,true,
JPEndpoints,24.200.001,PhysicalInventoryReview,true,
JPEndpoints,24.200.001,ProFormaInvoice,true,
JPEndpoints,24.200.001,Project,true,
JPEndpoints,24.200.001,ProjectBudget,true,
JPEndpoints,24.200.001,ProjectTask,true,
JPEndpoints,24.200.001,ProjectTemplate,true,
JPEndpoints,24.200.001,ProjectTemplateTask,true,
JPEndpoints,24.200.001,ProjectTransaction,true,
JPEndpoints,24.200.001,PurchaseOrder,true,
JPEndpoints,24.200.001,PurchaseReceipt,true,
JPEndpoints,24.200.001,SalesInvoice,true,
JPEndpoints,24.200.001,SalesOrder,true,
JPEndpoints,24.200.001,SalesPriceWorksheet,true,
JPEndpoints,24.200.001,SalesPricesInquiry,true,
JPEndpoints,24.200.001,Salesperson,true,
JPEndpoints,24.200.001,ServiceOrder,true,
JPEndpoints,24.200.001,ShipVia,true,
JPEndpoints,24.200.001,Shipment,true,
JPEndpoints,24.200.001,ShippingBox,true,
JPEndpoints,24.200.001,ShippingTerm,true,
JPEndpoints,24.200.001,ShippingZones,true,
JPEndpoints,24.200.001,ShopifyStore,true,
JPEndpoints,24.200.001,StockItem,true,
JPEndpoints,24.200.001,StorageDetailsByLocationInquiry,true,
JPEndpoints,24.200.001,StorageDetailsInquiry,true,
JPEndpoints,24.200.001,Subaccount,true,
JPEndpoints,24.200.001,Subcontract,true,
JPEndpoints,24.200.001,Task,true,
JPEndpoints,24.200.001,Tax,true,
JPEndpoints,24.200.001,TaxCategory,true,
JPEndpoints,24.200.001,TaxReportingSettings,true,
JPEndpoints,24.200.001,TaxZone,true,
JPEndpoints,24.200.001,TemplateItems,true,
JPEndpoints,24.200.001,TimeEntry,true,
JPEndpoints,24.200.001,TransferOrder,true,
JPEndpoints,24.200.001,UnionLocal,true,
JPEndpoints,24.200.001,UnitsOfMeasure,true,
JPEndpoints,24.200.001,Vendor,true,
JPEndpoints,24.200.001,VendorClass,true,
JPEndpoints,24.200.001,VendorPriceWorksheet,true,
JPEndpoints,24.200.001,VendorPricesInquiry,true,
JPEndpoints,24.200.001,Warehouse,true,
JPEndpoints,24.200.001,WorkCalendar,true,
JPEndpoints,24.200.001,WorkClassCompensationCode,true,
JPEndpoints,24.200.001,WorkLocation,true,
